Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
,06/04/2025 22:00,21757.0,21758.75,21736.75,21745.25,-11.5,-0.05,3492,N/A
,06/04/2025 23:00,21745.75,21754.5,21741.75,21749.75,4.5,0.02,2527,N/A
,06/05/2025 00:00,21747.5,21759.25,21745.25,21748.5,-1.25,-0.01,2466,N/A
,06/05/2025 01:00,21748.5,21749.0,21724.75,21734.25,-14.25,-0.07,3074,N/A
,06/05/2025 02:00,21734.0,21744.25,21723.0,21737.25,3.0,0.01,3249,N/A
,06/05/2025 03:00,21741.0,21840.0,21741.0,21812.5,75.25,0.35,11638,N/A
,06/05/2025 04:00,21813.0,21842.5,21773.5,21790.0,-22.5,-0.1,8135,N/A
,06/05/2025 05:00,21790.5,21791.5,21764.0,21775.75,-14.25,-0.07,5288,N/A
,06/05/2025 06:00,21775.75,21804.75,21753.75,21777.0,1.25,0.01,5728,N/A
,06/05/2025 07:00,21776.5,21780.0,21745.75,21769.75,-7.25,-0.03,6378,N/A
,06/05/2025 08:00,21767.25,21898.0,21712.5,21826.25,56.5,0.26,22076,N/A
,06/05/2025 09:00,21802.5,21840.5,21691.5,21723.5,-102.75,-0.47,71360,N/A
,06/05/2025 10:00,21724.75,21878.75,21704.0,21858.25,134.75,0.62,88677,N/A
,06/05/2025 11:00,21858.25,21935.0,21844.5,21920.0,61.75,0.28,50002,N/A
,06/05/2025 12:00,21920.25,21923.0,21670.25,21687.25,-232.75,-1.06,73911,N/A
,06/05/2025 13:00,21687.0,21789.75,21659.5,21729.0,41.75,0.19,44275,N/A
,06/05/2025 14:00,21730.0,21740.0,21606.5,21686.75,-42.25,-0.19,58996,N/A
,06/05/2025 15:00,21686.5,21698.0,21503.5,21587.0,-99.75,-0.46,90318,N/A
,06/05/2025 16:00,21587.25,21619.25,21510.75,21515.0,-72.0,-0.33,18338,N/A
,06/05/2025 18:00,21471.0,21560.5,21471.0,21558.0,43.0,0.2,0,N/A
,06/05/2025 19:00,21558.5,21571.25,21540.0,21545.5,-12.5,-0.06,5322,N/A
